ano,instituicao,titulo,autor,link
2019,Universidade Federal de Ouro Preto,"O Rádio e a cidade patrimônio: experiências de escuta, localismo e migração nos discursos de ouvintes Ouro-Pretanos.","MEDEIROS, Rafael Ferreira",https://www.repositorio.ufop.br/handle/123456789/11310
2019,Universidade Federal da Bahia,Podcast O canto da fala,"RODRIGUES, Tayane",https://repositorio.ufba.br/ri/handle/ri/29983
2019,Universidade Federal do Piauí ,Primeiros apontamentos sobre o processo de regionalização os blogs jornalísticos maranhenses,"BARROS, Jordana Fonseca; CARVALHO, Samantha Viana Castelo Branco Rocha",https://portalintercom.org.br/anais/nacional2019/resumos/R14-0610-1.pdf
2019,Universidade Federal do Paraná; Universidade Federal do Ceará,Quando o Jornalismo e as fontes disputam o controle da visibilidade pública: a cobertura do jornal O Povo sobre a fanpage de Cid Gomes,"MARQUES, Francisco Paulo Jamil; REBOUÇAS, Hébely",https://www.scielo.br/pdf/interc/v42n1/1809-5844-interc-42-1-0093.pdf
2019,Universidade Federal de Santa Maria ,"Reverberações da migração AM - FM: sobre a função social do rádio local, desertos de notícia e zonas de silêncio","MEDEIROS, Rafael; PRATA, Nair",http://www.midiaticom.org/anais/index.php/seminario-midiatizacao-artigos/article/view/296/290
2019,IDEA,"The Global State of Democracy 2019: Addressing the Ills, Reviving the Promise",IDEA,https://www.idea.int/sites/default/files/publications/chapters/the-global-state-of-democracy-2019-CH3.pdf
2019,University of International Integration of the Afro-Brazilian Lusophony,The neoliberal Chimera: Authoritarian freedom and the right to ignorance in Brazil’s elections,"LENINE, Enzo",https://ecpr.eu/Filestore/paperproposal/17cf2625-fbeb-466e-998a-d204c80057f7.pdf
2018,Universidade Federal de Uberlândia,A Produção de Sentidos sobre o Vale do Jequitinhonha pela TV Praça: um gesto de olhar para a Comunicação Comunitária,"PEREIRA, Elainy Carmona",http://repositorio.ufu.br/handle/123456789/24110
2018,"Faculdade Adventista de Minas Gerais",A tecnologia e o digital nas competências gerais da BNCC: As condições de produção do discurso,"STRUMIELLO, Luis Daniel Pittini",http://pos.univas.edu.br/ppgcl/docs/2019/publicacoes/9ea762_4184031b2b2544f99f42d6ba918476d9.pdf#page=131
2018,Universidade do Estado do Rio de Janeiro,A Voz do Dono e o Dono da Voz: a influência da propriedade de rádios locais nos resultados das eleições municipais,"LOPES, Cristiano Aguiar",https://www.researchgate.net/profile/Cristiano_Lopes4/publication/329718274_A_Voz_do_Dono_e_o_Dono_da_Voz_a_influencia_da_propriedade_de_radios_locais_nos_resultados_das_eleicoes_municipais/links/5c180dd692851c39ebf52244/A-Voz-do-Dono-e-o-Dono-da-Voz-a-influencia-da-propriedade-de-radios-locais-nos-resultados-das-eleicoes-municipais.pdf
2018,Universidade Federal de Juiz de Fora; Universidade de Brasília; Universidade Federal de Goiás ,Brasil: Regiões de sombra e de silêncio no audiovisual e nas telecomunicações,"MOREIRA, Sonia Virgínia; DEL BIANCO, Nélia Rodrigues ",https://portalintercom.org.br/anais/nacional2018/resumos/R13-1821-2.pdf
2018,Universidade Federal de Santa Catarina,"Com A Palavra, A Mídia: O Sistema Único De Saúde No Estado De Santa Catarina","RIBEIRO, Paola Gomes",https://repositorio.ufsc.br/bitstream/handle/123456789/189356/Paola%20Gomes%20Ribeiro.pdf?sequence=1&isAllowed=y
2018,Universidade Fernando Pessoa,O JORNALISMO INVESTIGATIVO E ÀS MUTAÇÕES CONTEMPORÂNEAS,"SERPA, Leoní ",https://www.atenaeditora.com.br/wp-content/uploads/2019/01/E-book-Comunicacao-e-Jornalismo-2.pdf
2018,Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej,Cyberprzestrzeń jako środowisko społeczeństwa obywatelskiego w Brazylii,"OCHAB, Maria",http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ojs-doi-10_17951_teka_2018_13_2_187-203
2018,Universidade do Estado do Rio de Janeiro,Mapeamento dos serviços de mídia das cidades médias da região norte1,"REIS, Thays Assunção ",http://www.intercom.org.br/sis/eventos/2018/resumos/R13-1408-2.pdf
2018,Universidade Federal do Pampa,Massa em conexão: uma websérie observativa-participativa sobre educomunicação para comunidades de periferia,"NASCIMENTO, Luis Felipe do",http://dspace.unipampa.edu.br:8080/jspui/handle/riu/3895
