Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
352990,3529906,MIRACATU,n/d,SP,Sudeste,1,4.9,Brasil,20533,0.697,0.478,0.655,0.803,0.645,442.77
330300,3303005,MIRACEMA,n/d,RJ,Sudeste,1,3.7,Brasil,26684,0.713,0.569,0.646,0.805,0.696,608.62
210670,2106706,MIRADOR,n/d,MA,Nordeste,1,4.9,Brasil,20418,0.545,0.274,0.451,0.74,0.485,163.97
314210,3142106,MIRADOURO,n/d,MG,Sudeste,1,9.8,Brasil,10180,0.663,0.327,0.546,0.827,0.645,443.39
353010,3530102,MIRANDÓPOLIS,n/d,SP,Sudeste,1,4.1,Brasil,24298,0.751,0.538,0.665,0.869,0.732,758.64
292140,2921401,MIRANGABA,n/d,BA,Nordeste,1,6.2,Brasil,16252,0.542,0.257,0.454,0.685,0.512,193.47
353020,3530201,MIRANTE DO PARANAPANEMA,n/d,SP,Sudeste,1,5.9,Brasil,16913,0.724,0.466,0.674,0.841,0.67,516.3
314220,3142205,MIRAÍ,n/d,MG,Sudeste,1,7.3,Brasil,13704,0.68,0.38,0.567,0.837,0.663,493.91
150460,1504604,MOCAJUBA,n/d,PA,Norte,1,3.8,Brasil,26640,0.575,0.357,0.467,0.754,0.539,229.18
421090,4210902,MODELO,n/d,SC,Sul,1,24.9,Brasil,4019,0.76,0.472,0.659,0.886,0.751,858.23
314230,3142304,MOEDA,n/d,MG,Sudeste,1,21.4,Brasil,4667,0.638,0.309,0.494,0.8,0.657,477.77
314240,3142403,MOEMA,n/d,MG,Sudeste,1,14.3,Brasil,6975,0.721,0.454,0.629,0.848,0.703,634.04
521340,5213400,MOIPORÁ,n/d,GO,Centro-Oeste,1,57.2,Brasil,1747,0.696,0.405,0.632,0.818,0.652,461.94
421100,4211009,MONDAÍ,n/d,SC,Sul,1,9.8,Brasil,10154,0.748,0.5,0.657,0.875,0.728,741.84
353110,3531100,MONGAGUÁ,n/d,SP,Sudeste,1,2.2,Brasil,44770,0.754,0.581,0.699,0.854,0.719,699.73
314260,3142601,MONSENHOR PAULO,n/d,MG,Sudeste,1,12.3,Brasil,8124,0.721,0.453,0.654,0.839,0.682,555.78
230860,2308609,MONSENHOR TABOSA,n/d,CE,Nordeste,1,6.0,Brasil,16682,0.61,0.356,0.538,0.773,0.545,237.18
314270,3142700,MONTALVÂNIA,n/d,MG,Sudeste,1,6.3,Brasil,15814,0.613,0.334,0.492,0.799,0.586,305.88
240770,2407708,MONTANHAS,n/d,RN,Nordeste,1,8.8,Brasil,11409,0.557,0.283,0.447,0.7,0.553,249.75
150480,1504802,MONTE ALEGRE,n/d,PA,Norte,1,1.8,Brasil,55260,0.589,0.364,0.495,0.764,0.541,231.65
314280,3142809,MONTE ALEGRE DE MINAS,n/d,MG,Sudeste,1,5.2,Brasil,19367,0.674,0.361,0.516,0.848,0.699,619.1
353120,3531209,MONTE ALEGRE DO SUL,n/d,SP,Sudeste,1,14.0,Brasil,7128,0.759,0.506,0.678,0.858,0.752,861.61
