id,cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
id5548,FOZ DO IGUAÇU,Jornal,410830,6,n/d,PR,Paraná,S,Brasil,254276,842.26,0.591,0.751,0.661,0.858,0.748
id5386,BRUSQUE,Jornal,420290,6,n/d,SC,Santa Catarina,S,Brasil,104887,1116.93,0.591,0.795,0.707,0.894,0.794
id5393,CANOINHAS,Jornal,420380,6,n/d,SC,Santa Catarina,S,Brasil,52405,692.87,0.567,0.757,0.692,0.874,0.717
id5704,CONCÓRDIA,Jornal,420430,6,n/d,SC,Santa Catarina,S,Brasil,68285,1009.49,0.599,0.8,0.756,0.872,0.777
id5462,PALHOÇA,Jornal,421190,6,n/d,SC,Santa Catarina,S,Brasil,136699,862.74,0.609,0.757,0.672,0.859,0.752
id5505,TIMBÓ,Jornal,421820,6,n/d,SC,Santa Catarina,S,Brasil,36602,1214.03,0.601,0.784,0.697,0.856,0.807
id4981,IJUÍ,Jornal,431020,6,n/d,RS,Rio Grande do Sul,S,Brasil,77957,1066.65,0.586,0.781,0.707,0.858,0.786
id5730,LAJEADO,Jornal,431140,6,n/d,RS,Rio Grande do Sul,S,Brasil,70819,1130.85,0.61,0.778,0.704,0.84,0.796
id5288,PASSO FUNDO,Jornal,431410,6,n/d,RS,Rio Grande do Sul,S,Brasil,183407,1068.95,0.663,0.776,0.699,0.849,0.787
id5734,PELOTAS,Jornal,431440,6,n/d,RS,Rio Grande do Sul,S,Brasil,326650,894.35,0.58,0.739,0.632,0.844,0.758
id5350,TORRES,Jornal,432150,6,n/d,RS,Rio Grande do Sul,S,Brasil,34446,853.62,0.584,0.762,0.685,0.862,0.75
id674,RIO VERDE,Jornal,521880,6,n/d,GO,Goiás,CO,Brasil,175474,936.75,0.556,0.754,0.656,0.853,0.765
id865,BETIM,Jornal,310670,5,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,376682,660.56,0.587,0.749,0.687,0.864,0.709
id908,CONSELHEIRO LAFAIETE,Jornal,311830,5,n/d,MG,Minas Gerais,SE,Brasil,116043,781.59,0.603,0.761,0.697,0.86,0.736
id5651,POUSO ALEGRE,Jornal,315250,5,n/d,MG,Minas Gerais,SE,Brasil,129577,878.26,0.619,0.774,0.704,0.872,0.755
id5654,UBERABA,Jornal,317010,5,n/d,MG,Minas Gerais,SE,Brasil,292644,978.01,0.63,0.772,0.705,0.845,0.772
id458,GUARAPARI,Jornal,320240,5,n/d,ES,Espírito Santo,SE,Brasil,104656,830.51,0.564,0.731,0.626,0.837,0.746
id1995,ANGRA DOS REIS,Jornal,330010,5,n/d,RJ,Rio de Janeiro,SE,Brasil,168814,798.68,0.554,0.724,0.605,0.846,0.74
id4871,BARRA MANSA,Jornal,330040,5,n/d,RJ,Rio de Janeiro,SE,Brasil,177326,705.1,0.582,0.729,0.657,0.819,0.72
id2082,MARICÁ,Jornal,330270,5,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,127228,910.41,0.655,0.765,0.692,0.85,0.761
id2141,RESENDE,Jornal,330420,5,n/d,RJ,Rio de Janeiro,SE,Brasil,119435,915.21,0.664,0.768,0.709,0.839,0.762
id2202,SANTO ANTÔNIO DE PÁDUA,Jornal,330470,5,n/d,RJ,Rio de Janeiro,SE,Brasil,40460,657.53,0.516,0.718,0.648,0.806,0.709
id2231,TERESÓPOLIS,Jornal,330580,5,n/d,RJ,Rio de Janeiro,SE,Brasil,162971,859.79,0.531,0.73,0.605,0.855,0.752
id2243,VOLTA REDONDA,Jornal,330630,5,n/d,RJ,Rio de Janeiro,SE,Brasil,257116,920.51,0.672,0.771,0.72,0.833,0.763
id3981,ARARAQUARA,Jornal,350320,5,n/d,SP,São Paulo,SE,Brasil,206646,1080.66,0.687,0.815,0.782,0.877,0.788
id4033,BOTUCATU,Jornal,350750,5,n/d,SP,São Paulo,SE,Brasil,126813,1089.1,0.653,0.8,0.746,0.869,0.79
id5012,GUAÍRA,Jornal,351740,5,n/d,SP,São Paulo,SE,Brasil,37339,901.23,0.512,0.753,0.683,0.824,0.759
id4215,ITANHAÉM,Jornal,352210,5,n/d,SP,São Paulo,SE,Brasil,86728,690.67,0.589,0.745,0.701,0.823,0.716
id4221,ITAPETININGA,Jornal,352230,5,n/d,SP,São Paulo,SE,Brasil,140581,741.64,0.598,0.763,0.705,0.864,0.728
id5581,JACAREÍ,Jornal,352440,5,n/d,SP,São Paulo,SE,Brasil,210767,846.53,0.66,0.777,0.749,0.837,0.749
id5777,JAÚ,Jornal,352530,5,n/d,SP,São Paulo,SE,Brasil,130260,951.17,0.572,0.778,0.693,0.886,0.768
id4327,MOGI GUAÇU,Jornal,353070,5,n/d,SP,São Paulo,SE,Brasil,136821,802.19,0.598,0.774,0.736,0.852,0.74
id4547,SÃO JOSÉ DOS CAMPOS,Jornal,354990,5,n/d,SP,São Paulo,SE,Brasil,627707,1190.96,0.703,0.807,0.764,0.855,0.804
id4686,TABOÃO DA SERRA,Jornal,355280,5,RM São Paulo,SP,São Paulo,SE,Brasil,243983,812.19,0.653,0.769,0.71,0.863,0.742
id5549,CAMPO LARGO,Jornal,410420,5,RM Curitiba,PR,Paraná,S,Brasil,111827,749.21,0.528,0.745,0.664,0.854,0.73
id5778,LARANJEIRAS DO SUL,Jornal,411330,5,n/d,PR,Paraná,S,Brasil,30561,659.33,0.43,0.706,0.594,0.835,0.709
id5690,SÃO JOSÉ DOS PINHAIS,Jornal,412550,5,RM Curitiba,PR,Paraná,S,Brasil,263194,846.93,0.617,0.758,0.678,0.859,0.749
id2908,BIGUAÇU,Jornal,420230,5,n/d,SC,Santa Catarina,S,Brasil,58014,764.37,0.58,0.739,0.659,0.836,0.733
id5420,IMBITUBA,Jornal,420730,5,n/d,SC,Santa Catarina,S,Brasil,39714,768.81,0.592,0.765,0.703,0.868,0.734
id5455,NAVEGANTES,Jornal,421130,5,n/d,SC,Santa Catarina,S,Brasil,60411,756.39,0.529,0.736,0.624,0.873,0.731
id5463,PALMITOS,Jornal,421210,5,n/d,SC,Santa Catarina,S,Brasil,15987,887.5,0.435,0.737,0.632,0.836,0.757
id5716,XANXERÊ,Jornal,421950,5,n/d,SC,Santa Catarina,S,Brasil,43612,906.11,0.593,0.775,0.711,0.861,0.76
id5162,ARROIO GRANDE,Jornal,430130,5,n/d,RS,Rio Grande do Sul,S,Brasil,18364,528.13,0.409,0.657,0.522,0.807,0.673
id5718,BAGÉ,Jornal,430160,5,n/d,RS,Rio Grande do Sul,S,Brasil,116108,795.56,0.585,0.74,0.647,0.848,0.739
id5195,CARAZINHO,Jornal,430470,5,n/d,RS,Rio Grande do Sul,S,Brasil,58825,881.73,0.621,0.766,0.707,0.84,0.756
id5726,GRAVATAÍ,Jornal,430920,5,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,254991,737.29,0.611,0.736,0.636,0.862,0.727
id5731,MONTENEGRO,Jornal,431240,5,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,58537,914.23,0.575,0.755,0.654,0.866,0.761
id5294,RIO GRANDE,Jornal,431560,5,n/d,RS,Rio Grande do Sul,S,Brasil,195482,859.2,0.584,0.744,0.637,0.861,0.752
id5298,ROSÁRIO DO SUL,Jornal,431640,5,n/d,RS,Rio Grande do Sul,S,Brasil,39469,643.97,0.483,0.699,0.576,0.841,0.705
id5316,SÃO GABRIEL,Jornal,431830,5,n/d,RS,Rio Grande do Sul,S,Brasil,59422,667.06,0.475,0.699,0.585,0.822,0.711
