Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
261250,2612505,SANTA CRUZ DO CAPIBARIBE,n/d,PE,Nordeste,1,1.2,Brasil,86786,0.648,0.353,0.506,0.806,0.667,507.05
354640,3546405,SANTA CRUZ DO RIO PARDO,n/d,SP,Sudeste,1,2.3,Brasil,43593,0.762,0.544,0.686,0.867,0.744,818.3
210980,2109809,SANTA HELENA,n/d,MA,Nordeste,1,2.6,Brasil,39056,0.571,0.336,0.471,0.746,0.531,217.94
210990,2109908,SANTA INÊS,n/d,MA,Nordeste,1,1.3,Brasil,77056,0.674,0.488,0.615,0.788,0.633,411.04
412380,4123808,SANTA IZABEL DO OESTE,n/d,PR,Sul,1,7.6,Brasil,13106,0.696,0.427,0.603,0.826,0.677,540.49
315770,3157708,SANTA JULIANA,n/d,MG,Sudeste,1,8.9,Brasil,11287,0.706,0.443,0.558,0.868,0.726,735
320450,3204500,SANTA LEOPOLDINA,n/d,ES,Sudeste,1,8.2,Brasil,12230,0.626,0.293,0.477,0.797,0.646,445.57
211000,2110005,SANTA LUZIA,n/d,MA,Nordeste,1,1.4,Brasil,73809,0.55,0.293,0.452,0.7,0.525,210.3
251340,2513406,SANTA LUZIA,n/d,PB,Nordeste,1,6.8,Brasil,14670,0.682,0.451,0.635,0.804,0.62,379.3
354690,3546900,SANTA LÚCIA,n/d,SP,Sudeste,1,12.1,Brasil,8248,0.737,0.487,0.703,0.818,0.696,609.37
315800,3158003,SANTA MARIA DE ITABIRA,n/d,MG,Sudeste,1,9.5,Brasil,10498,0.648,0.315,0.533,0.821,0.622,382.99
251370,2513703,SANTA RITA,n/d,PB,Nordeste,1,0.8,Brasil,119874,0.627,0.419,0.534,0.774,0.597,328.16
354760,3547601,SANTA ROSA DE VITERBO,n/d,SP,Sudeste,1,4.2,Brasil,23724,0.77,0.582,0.704,0.868,0.746,829.2
412402,4124020,SANTA TEREZA DO OESTE,n/d,PR,Sul,1,9.7,Brasil,10329,0.705,0.477,0.632,0.808,0.686,573.27
431730,4317301,SANTA VITÓRIA DO PALMAR,n/d,RS,Sul,1,3.2,Brasil,30837,0.712,0.476,0.591,0.861,0.709,657.76
292820,2928208,SANTANA,n/d,BA,Nordeste,1,4.1,Brasil,24618,0.608,0.312,0.496,0.776,0.585,304.18
431700,4317004,SANTANA DA BOA VISTA,n/d,RS,Sul,1,12.2,Brasil,8221,0.633,0.302,0.503,0.802,0.63,404.01
231210,2312106,SANTANA DO CARIRI,n/d,CE,Nordeste,1,5.8,Brasil,17095,0.612,0.354,0.557,0.779,0.527,212.7
315895,3158953,SANTANA DO PARAÍSO,n/d,MG,Sudeste,1,3.7,Brasil,27235,0.685,0.457,0.552,0.878,0.663,495.81
292860,2928604,SANTO AMARO,n/d,BA,Nordeste,1,1.7,Brasil,57505,0.646,0.489,0.559,0.772,0.626,392.75
421570,4215703,SANTO AMARO DA IMPERATRIZ,n/d,SC,Sul,1,5.1,Brasil,19714,0.781,0.591,0.71,0.89,0.753,867.13
354770,3547700,SANTO ANASTÁCIO,n/d,SP,Sudeste,1,4.9,Brasil,20413,0.753,0.533,0.689,0.854,0.725,726.34
241150,2411502,SANTO ANTÔNIO,n/d,RN,Nordeste,1,4.5,Brasil,22209,0.62,0.341,0.512,0.782,0.595,323.81
521971,5219712,SANTO ANTÔNIO DA BARRA,n/d,GO,Centro-Oeste,1,22.7,Brasil,4413,0.691,0.379,0.593,0.835,0.665,502.83
431760,4317608,SANTO ANTÔNIO DA PATRULHA,RM Porto Alegre,RS,Sul,1,2.5,Brasil,39520,0.717,0.443,0.594,0.866,0.718,696.41
431770,4317707,SANTO ANTÔNIO DAS MISSÕES,n/d,RS,Sul,1,9.0,Brasil,11161,0.686,0.394,0.576,0.835,0.672,522.77
315990,3159902,SANTO ANTÔNIO DO AMPARO,n/d,MG,Sudeste,1,5.8,Brasil,17247,0.672,0.395,0.576,0.823,0.641,431.56
510780,5107800,SANTO ANTÔNIO DO LEVERGER,n/d,MT,Centro-Oeste,1,5.5,Brasil,18129,0.656,0.408,0.539,0.806,0.651,460.13
316040,3160405,SANTO ANTÔNIO DO MONTE,n/d,MG,Sudeste,1,3.9,Brasil,25810,0.724,0.476,0.615,0.84,0.736,781.49
