Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
430210.0,4302105.0,BENTO GONÇALVES,n/d,RS,Sul,7,6.56254101588135,Brasil,106666.0,0.778,0.614,0.695,0.842,0.805,1196.56
420230.0,4202305.0,BIGUAÇU,n/d,SC,Sul,7,12.0660530216844,Brasil,58014.0,0.739,0.58,0.659,0.836,0.733,764.37
420290.0,4202909.0,BRUSQUE,n/d,SC,Sul,7,6.67384899939935,Brasil,104887.0,0.795,0.591,0.707,0.894,0.794,1116.93
320120.0,3201209.0,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Sudeste,7,3.70782350760104,Brasil,188790.0,0.746,0.561,0.677,0.837,0.733,763.71
410420.0,4104204.0,CAMPO LARGO,RM Curitiba,PR,Sul,7,6.25966895293623,Brasil,111827.0,0.745,0.528,0.664,0.854,0.73,749.21
351060.0,3510609.0,CARAPICUÍBA,RM São Paulo,SP,Sudeste,7,1.89748691411703,Brasil,368909.0,0.749,0.6,0.693,0.842,0.721,712.78
311530.0,3115300.0,CATAGUASES,n/d,MG,Sudeste,7,10.0967848952098,Brasil,69329.0,0.751,0.546,0.685,0.861,0.718,699.57
420430.0,4204301.0,CONCÓRDIA,n/d,SC,Sul,7,10.2511532547412,Brasil,68285.0,0.8,0.599,0.756,0.872,0.777,1009.49
500320.0,5003207.0,CORUMBÁ,n/d,MS,Centro-Oeste,7,6.82287808491559,Brasil,102596.0,0.7,0.546,0.586,0.834,0.701,627.1
351550.0,3515509.0,FERNANDÓPOLIS,n/d,SP,Sudeste,7,10.8621438768543,Brasil,64444.0,0.797,0.595,0.758,0.872,0.767,944.0
351840.0,3518404.0,GUARATINGUETÁ,n/d,SP,Sudeste,7,6.27577550654474,Brasil,111540.0,0.798,0.673,0.751,0.886,0.764,926.78
430930.0,4309308.0,GUAÍBA,RM Porto Alegre,RS,Sul,7,7.36818837299875,Brasil,95003.0,0.73,0.6,0.639,0.833,0.732,758.83
431020.0,4310207.0,IJUÍ,n/d,RS,Sul,7,8.97930910630219,Brasil,77957.0,0.781,0.586,0.707,0.858,0.786,1066.65
420750.0,4207502.0,INDAIAL,n/d,SC,Sul,7,12.7933328459683,Brasil,54716.0,0.777,0.574,0.701,0.873,0.767,945.33
291480.0,2914802.0,ITABUNA,n/d,BA,Nordeste,7,3.44520402990437,Brasil,203181.0,0.712,0.576,0.643,0.807,0.695,605.12
330220.0,3302205.0,ITAPERUNA,n/d,RJ,Sudeste,7,7.37199064810329,Brasil,94954.0,0.73,0.536,0.649,0.837,0.716,688.83
420940.0,4209409.0,LAGUNA,n/d,SC,Sul,7,13.5998912008704,Brasil,51471.0,0.752,0.536,0.682,0.871,0.715,684.42
411330.0,4113304.0,LARANJEIRAS DO SUL,n/d,PR,Sul,7,22.9050096528255,Brasil,30561.0,0.706,0.43,0.594,0.835,0.709,659.33
